question,reference,prediction,bleu,rouge1,rouge2,rougeL
What is (are) X-linked creatine deficiency ?,"X-linked creatine deficiency is a rare condition that primarily affects the brain. Signs and symptoms generally develop before age 2 and may include mild to severe intellectual disability; delayed speech development, behavioral problems (i.e. autistic features, hyperactivity), and seizures. Less commonly, affected people may have distinctive facial features, heart abnormalities, and gastrointestinal disorders. X-linked creatine deficiency is caused by changes (mutations) in the SLC6A8 gene and is inherited in an X-linked manner. Treatment with high doses of creatine monohydrate, L-arginine, and L-glycine has been used to treat some of the symptoms associated with X-linked creatine deficiency with variable success.","X-linked creatine deficiency, also known as GBE-CD or Leigh syndrome type 1A, is an inherited disorder that affects many areas of development and function in infants with severe symptoms including seizures; delayed motor skills such as head control, sitting without support, standing up by themselves, walking, running, jumping, throwing objects etc.; poor muscle tone (hypotonia); weak crys at birth which may be difficult to hear; feeding difficulties due to tongue weakness called micrognathia; failure to grow and gain weight at expected rates (failure to thrive), heart problems, respiratory infections like pneumonia caused by abnormal lung tissue formation (pulmonary fibrosis), developmental delay, intellectual disability ranging from mild learning disabilities to profound mental retardation requiring lifelong care;",0.016813232175517463,0.28699551569506726,0.04524886877828054,0.14349775784753363
What are the symptoms of Treacher Collins syndrome 3 ?,"What are the signs and symptoms of Treacher Collins syndrome 3? The Human Phenotype Ontology provides the following list of signs and symptoms for Treacher Collins syndrome 3. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the outer ear - Autosomal recessive inheritance - Cleft palate - Lower eyelid coloboma - Malar flattening - Mandibulofacial dysostosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Treacher Collins syndrome type 3? The Human Phenotype Ontology provides the following list of signs and symptoms for Treacher Collins syndrome type 3. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Mandibular prognathia - Micrognathia - Narrow mouth roof - Posteriorly rotated ears - Round face - Small jaw size - Split uvula - X-linked recessive inheritance - Abnormality of dental enamel - Autosomal dominant inheritance - Bifid uvula - Broad",0.18621156814738782,0.45142857142857146,0.41379310344827586,0.44
What causes Myelodysplastic syndromes ?,"What causes myelodysplastic syndromes? It is known that the abnormal development of blood cells associated with myelodysplastic syndromes (MDS) develops as the result of a series of somatic genetic changes - mutations that are not inherited that arise after conception - in cells that later become blood cells. These changes alter normal cell growth and differentiation, resulting in the accumulation of abnormal, immature cells in the bone marrow, thus leading to the signs and symptoms of MDS. Some recurring chromosome abnormalities and translocations have been identified and can affect treatment planning and prognosis. Many times the underlying cause of MDS is unknown (idiopathic MDS). Sometimes, MDS can develop after chemotherapy and radiation treatment for cancer or autoimmune diseases (secondary MDS). There are also some possible risk factors for developing the condition. Having a risk factor does not mean that an individual will get MDS; not having risk factors doesnt mean that an individual will not get MDS. Possible risk factors for MDS may include past treatment with chemotherapy or radiation therapy; exposure to some chemicals (pesticides and benzene); exposure to heavy metals (such as mercury or lead); cigarette smoking; viral infections; being over 60 years of age; and being male or white. The majority of individuals developing MDS have no obvious connection with environmental hazards. MDS also sometimes runs in families, which suggests a potential genetic link with the disease; however, no disease causing gene has been identified.","What factors cause myelodysplastic syndrome? The exact underlying genetic and molecular basis that leads an individual with MDS to develop this condition is not well understood, although several studies have been conducted examining various genes involved in DNA repair mechanisms as potential risk factor for developing acute leukemia or other blood cancers. While it has also identified certain mutations related to iron metabolism and immune system function, researchers believe there may be multiple contributing environmental exposures such as: smoking radiation exposure chemotherapy agents infection (i.e., Epstein-Barr virus) exposure to chemicals used commercially (e.g., benzene) occupational hazards at work (i.e., asbestos) infectious diseases Certain inherited conditions can predispose individuals toward having more than one mutated cell line which increases their chance of becoming cancerous.",0.0041270169635621535,0.3581267217630854,0.04986149584487535,0.14876033057851243
Do you have information about Health Statistics,"Summary : You see them all the time in the news - the number of people who were in the hospital last year, the percentage of kids who are overweight, the rate at which people are catching the flu, the average cost of a medical procedure. These are all types of health statistics.    Health statistics are numbers about some aspect of health. Statistics about births, deaths, marriages, and divorces are sometimes called ""vital statistics."" Researchers use statistics to see patterns of diseases in groups of people. This can help in figuring out who is at risk for certain diseases, finding ways to control diseases and deciding which diseases should be studied.","Summary : The health statistics section provides data and analyses that allow researchers, policy makers and others who need this type of material access to it quickly and easily. This includes state-of-the-art tools such as the National Vital Statistics System Mortality Files and the Data.gov website, which links viewers with more than 250 databases containing public use files available online.    Information can be accessed through the HHS Office on Women's Health Web site at http://www.womenshealth.gov/. For those interested in specific topics like heart disease or cancer, there is an index by topic including where additional documents may also be found.     Other resources include:       - State reports on pregnancy mortality rates.   - Pregnancy-related death reporting system, a national database of maternal deaths linked",0.008371728102068496,0.2784810126582279,0.025531914893617023,0.11814345991561181
Is N-acetylglutamate synthase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is considered an autosomal recessive disorder, which means both copies of gene BACHBR2 in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",0.8226913783457938,0.9306930693069307,0.8484848484848485,0.9306930693069307
How many people are affected by polymicrogyria ?,"The prevalence of isolated polymicrogyria is unknown. Researchers believe that it may be relatively common overall, although the individual forms of the disorder (such as bilateral generalized polymicrogyria) are probably rare.","Polymicrogyria is estimated to occur in 0.25 percent to 1 percent of all individuals, with sporadic cases being more common than familial ones. Researchers believe that some children who have been exposed prenatally to viruses or drugs may develop this condition as well; however, it has not yet become clear how often exposure during pregnancy leads to brain abnormalities such as polymicrogyria.",0.05343733579435198,0.2978723404255319,0.08695652173913043,0.19148936170212766
What is (are) Spinocerebellar ataxia 15 ?,"Spinocerebellar ataxia 15 (SCA15) is a neurological condition characterized by slowly progressive gait and limb ataxia, often in combination with eye movement abnormalities and  balance, speech and swallowing difficulties. The onset of symptoms typically occurs between ages 7 and 66 years. The ability to walk independently is often maintained for many years following onset of symptoms. SCA15 is caused by mutations in the ITPR1 gene. It is inherited in an autosomal dominant manner. Diagnosis is based on clinical history, physical examination, molecular genetic testing, and exclusion of other similar diseases. There is no effective treatment known to modify disease progression. Patients may benefit from occupational and physical therapy for gait dysfunction and speech therapy for dysarthria.","Spinocerebellar ataxia type 2, or SCA2, is an inherited condition characterized by progressive problems with movement and balance that worsen over time. Signs and symptoms include difficulty walking; slurred speech; unsteady gait; tremor in one limb when it is held outstretched while performing fine motor tasks such as writing or buttoning clothes; involuntary jerking movements called myoclonus which can cause painful muscle spasms; impaired eye-hand coordination making simple activities like reaching into a cupboard difficult; reduced sensation especially around joints including knees, elbows, wrists and ankles; loss of vibratory sense particularly prominent during childhood but gradually diminishing later on; mild dementia affecting short-term memory skills; depression and anxiety; hearing impairment caused",0.01543989167264683,0.2620087336244542,0.04405286343612334,0.17467248908296945
What is (are) Restless legs syndrome ?,"Restless legs syndrome is a neurological condition that causes an irresistible urge to move the legs. The movement is triggered by strange or uncomfortable feelings, which occur mostly while the affected person is sitting or lying down and are worse at night. Movement (i.e. kicking, stretching, rubbing, or pacing) makes the discomfort go away, at least temporarily. Many people with restless legs syndrome also experience uncontrollable, repetitive leg movements that occur while they are sleeping or while relaxed or drowsy. Researchers have described early-onset and late-onset forms of restless legs syndrome. The early-onset form begins before age 45 and progresses slowly. The late-onset form begins after age 45, and its signs and symptoms tend to worsen more rapidly. Restless legs syndrome likely results from a combination of genetic, environmental, and lifestyle factors, many of which are unknown. Treatment is based on the signs and symptoms present in each person.","Restless legs syndrome, also known as Willis-Ekbom disease or Ekbom's Syndrome, is characterized by an uncontrollable urge to move one's arms and/or legs due to uncomfortable sensations in these areas. These feelings often occur at night just before falling asleep and can be relieved temporarily with movement; however they return shortly after moving around. Other symptoms may include: mild anxiety associated with limb movements during sleep  difficulty sleeping, which leads to fatigue upon awakening. Affected individuals usually have normal daytime functioning, but some people experience impaired cognitive function when affected while driving or working. Symptoms typically begin between ages thirty-five- fifty years old. The exact cause has not been determined yet, although genetics appear play role in causing this condition. Treatment options vary depending on",0.01764117899549925,0.3450704225352113,0.04964539007092199,0.1901408450704225
What are the treatments for Charcot-Marie-Tooth Disease ?,"There is no cure for CMT, but physical therapy, occupational therapy, braces and other orthopedic devices, and orthopedic surgery can help people cope with the disabling symptoms of the disease. In addition, pain-killing drugs can be prescribed for patients who have severe pain.","There is no cure or specific treatment for CMT disease, so management focuses on symptoms and complications that can be treated by surgery, physical therapy, occupational therapies, special orthotics and assistive devices, pain medications, and sometimes other drugs.
                
Individuals with sensory loss may experience numbness in their toes when they walk barefoot outdoors but not indoors. This sensation disappears once shoes are worn. If this symptom occurs frequently enough it could lead an individual to avoid walking outside altogether; however, wearing thick socks during outdoor activities usually prevents these sensations.",0.06964879794040515,0.35820895522388063,0.1212121212121212,0.22388059701492535
What is (are) Stroke ?,"Some brain cells die because they stop getting the oxygen and nutrients they need to function. Other brain cells die because they are damaged by sudden bleeding into or around the brain. The brain cells that don't die immediately remain at risk for death. These cells can linger in a compromised or weakened state for several hours. With timely treatment these cells can be saved. Knowing stroke symptoms, calling 911 immediately, and getting to a hospital as quickly as possible are critical.","A stroke occurs when blood flow and oxygen supply become cut off in an area of your brain, causing death or damage there. This can happen because of bleeding within minutes; without treatment it often leads to disability or even coma. A lack of oxygen causes cells that do not get enough food to die -- usually those closest to where they were born but which may also be farther away than expected. As these dead areas expand into other parts of tissue, more nerve fibers stop working. The extent of this cell loss determines how much impairment you will have after recovering physically from a stroke.    Strokes occur suddenly with no warning symptoms except maybe dizziness, confusion, vision problems, numbness below half-body level such as arm or leg, speech difficulties, headache,",0.012716610399085138,0.3069767441860465,0.009389671361502348,0.13023255813953488
